ValgstedId,Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr,Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.,Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.,Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.,Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.,Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst,Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.,Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-,Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst,Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt,Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum,Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum,Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr.
450008,4,11,26,38,35,565553,63,75,847713,254,56851771,110876217,497595084,154546691,150664849,301803319,2
450009,3,8,52,53,48,573632,87,130,929710,382,88096627,173533893,870601427,242310281,262503022,543107675,1
450010,6,48,267,150,78,379967,161,210,787468,933,206768573,365367154,1661694099,486649771,644156846,1237481421,13
450011,4,20,94,79,55,568731,143,196,912774,599,155287621,287209066,1559692654,388130276,522803830,1009792919,8
450012,6,12,90,98,60,497329,119,148,832456,540,120663558,228965482,1068175528,314249897,362757197,692023586,7
450013,2,21,58,64,60,576645,128,158,870322,497,118119705,225233128,1058229859,311724885,340001215,707094611,6
461001,413,628,1629,1209,840,335185,1078,848,578418,7088,1333904552,2267664422,6598582937,2998632463,3456457032,5310634808,443
461002,177,336,1411,849,682,393544,925,1212,773072,5727,1284304918,2220423836,8477484761,2938451239,3828137305,6763924146,135
461003,110,186,585,350,253,336588,306,341,648069,2220,420222716,723881022,2371371899,965692780,1167608586,1929930755,89
461004,338,462,1333,905,595,340035,769,883,649397,5554,1180493479,1948349631,6545059970,2538129822,3509170560,5378342090,269
461005,132,260,1204,740,529,350347,687,592,631880,4285,819661032,1418851364,4810857772,1919944404,2313889467,3793068041,141
461006,15,43,137,171,113,606749,267,419,913802,1174,286973202,555551979,2882542687,766586943,775275011,1678960937,9
461007,30,112,627,442,346,442848,527,732,832192,2870,632679729,1168174682,4949615884,1575086033,1705406020,3497547691,54
461009,18,53,278,280,224,478118,368,439,825214,1697,402141351,729593994,2808566551,993311627,1153199750,2049802982,37
461011,600,622,1421,1018,799,330586,1052,1103,639257,7301,1561347119,2565207158,7743448409,3250398476,4354960031,6668157004,686
461012,334,495,1727,1050,670,315724,815,677,566953,6077,1027008769,1782967037,5225296782,2410265217,2431912523,4189063232,309
461013,3,14,71,69,44,574792,129,170,923466,507,121650751,234838640,1349749670,323358489,418640117,830536194,7
461014,40,187,636,487,324,450647,628,800,826427,3140,720450530,1310174201,6342187520,1756342744,2142875892,4324525434,38
461016,13,73,375,285,193,495591,340,594,932824,1881,481451146,875913879,4288258675,1167990387,1496902487,3037730343,8
461017,40,132,556,419,338,487471,567,867,874381,2948,692819542,1289303814,6298401597,1736453398,1952282437,4051236309,29
461018,31,120,470,393,293,500830,483,842,931321,2645,701811415,1262734226,7199018735,1675893789,2067971594,4515073028,13
461019,46,118,491,347,237,448342,342,699,949997,2325,596327438,1064240758,5247893146,1383619998,1903943996,3902665207,45
461020,11,66,303,296,232,544867,428,655,899879,2004,487419565,921646493,5168931000,1262578429,1519237460,3126327033,13
461021,12,40,146,143,155,603830,242,492,1021361,1239,360014415,660893960,3227682777,889702738,1007161229,1986393315,9
461023,418,568,1691,1091,815,348562,1093,1190,659318,7311,1719989889,2761338955,10483938175,3533225302,5638407948,8804607551,445
461024,30,58,208,184,166,832799,350,1234,1486581,2262,1141519219,1919823843,10355255298,2415958605,3009450781,6601103500,32
461025,330,431,990,708,570,331156,788,742,629797,5166,987048994,1696076360,7025819643,2170232029,3298618278,5903178917,607
461026,50,186,813,700,552,519913,989,1557,936047,4891,1298105437,2343223962,13325575789,3132567148,4187312704,8670681651,44
461028,9,55,345,321,241,605080,462,944,1005739,2394,658043699,1234259868,6936174013,1664824992,2067886257,4251575556,17
461029,62,115,489,404,284,518106,393,1099,1093121,2913,903143262,1601496442,7562695208,2039548892,2903762600,5631012488,67
461030,130,282,851,594,480,425285,770,1080,831202,4391,1036756582,1829574050,8767103853,2383808524,3295872336,6594157096,204
461031,25,41,212,209,175,564367,321,551,976024,1551,424445740,777988034,4043101567,1043355237,1397265831,2722784010,17
461032,3,8,104,38,40,536217,79,139,927098,414,104746259,195832038,1014051519,260071545,318402382,679916767,3
461033,34,99,446,340,304,487105,521,683,868834,2463,576115417,1066322363,5425874411,1443399980,1739071767,3731841408,36
461035,201,332,1202,842,548,330033,633,382,547281,4256,671537234,1205604585,2798281461,1678590677,1215155372,2190013132,116
461036,100,144,733,417,249,329777,383,404,660890,2608,508530240,870847542,3727267801,1152300740,1860753715,3147663270,178
479001,338,504,2097,1242,858,346541,1216,1364,681340,8083,1797694755,2967276526,13593690719,3857205703,6167257046,11051832648,464
479002,46,104,572,302,201,344366,295,289,665278,1855,350098181,615690678,2595085670,835586003,1039418361,2006804546,46
479003,123,242,1061,603,412,351033,571,630,702241,3727,776857696,1323981356,5930333835,1764128888,2579875563,4663785060,85
479004,3.40,28.93,72.05,79.43,60.71,305277.18,138.43,153.18,484842.58,538.41,133819200.08,244830740.55,1229524786.63,335289648.41,366018148.64,745161621.23,2.27
479005,9,57,259,261,199,567708,352,672,1029916,1825,572845853,1002450974,6031972256,1317785979,1839988734,3904218473,16
479006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479007,9,19,134,107,155,613850,247,444,1041893,1131,378299880,655557868,4093421894,871704817,1259941898,2609176756,16
479008,2.60,22.07,54.95,60.57,46.29,232807.82,105.57,116.82,369746.42,410.59,102052030.92,186710683.45,937649466.37,255695666.59,279129567.36,568268654.77,1.73
479009,8,45,196,157,134,547790,242,401,941070,1197,313499247,576355874,2922491498,772420409,929345356,1945434638,14
