Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_Modtog ikke ydelser
;159005;15;2;1;176;57;46;103;1167;429;123;83;305;1925;146;25;19;215;815;48;31;10;1602;319
;159006;15;2;1;80;26;10;36;1330;295;102;63;109;1414;92;26;7;125;884;69;33;6;1349;370
;159007;15;2;1;97;37;19;37;689;200;67;29;110;1109;76;14;6;100;533;31;18;5;912;259
;159008;15;2;1;95;30;23;66;731;248;70;42;177;1097;71;18;11;144;625;38;26;9;1074;298
;159009;15;2;1;58,90;17,34;17,83;40,24;526,67;198,73;66,27;63,52;174,69;834,71;54,87;22,98;9,55;134,16;418,92;22,05;10,10;9,39;660,82;184,23
;161001;20;2;1;31;12;8;16;241;140;38;32;82;682;53;10;9;63;408;24;18;5;486;130
;161002;20;2;1;86;23;26;46;458;133;42;39;120;680;47;14;7;75;336;14;13;7;659;121
;161003;20;2;1;145;51;44;59;888;214;62;69;185;1092;88;26;14;138;500;28;20;5;1059;196
;161004;20;2;1;91;39;28;70;510;134;54;36;216;585;49;18;15;171;268;32;21;6;1165;118
;161005;20;2;1;9;6;7;6;102;81;20;17;24;402;25;9;8;29;231;16;9;5;416;101
;161006;20;2;1;62;29;20;29;303;185;49;41;112;734;58;19;13;95;375;27;19;3;669;163
;163001;16;2;1;242;89;42;88;1395;463;143;104;325;1817;124;41;22;283;780;55;39;15;2010;309
;163002;16;2;1;68;23;17;41;547;347;77;62;190;1485;126;23;19;158;974;71;37;16;2012;466
;163003;16;2;1;134;67;41;98;1044;342;109;73;351;1506;139;39;27;279;861;67;44;14;1711;407
;165001;19;2;1;159;57;41;87;1102;178;66;47;195;873;71;20;8;83;452;41;16;6;1108;169
;165002;19;2;1;70;30;14;44;463;157;59;49;135;717;68;15;8;86;464;26;11;8;1079;158
;165003;19;2;1;99;35;32;60;459;200;86;50;247;789;59;14;9;243;391;21;17;5;936;121
;165004;19;2;1;96;44;25;72;879;190;88;54;293;695;61;25;21;221;341;16;21;8;999;110
;165005;19;2;1;99;35;24;47;732;278;92;63;225;1082;113;38;17;181;692;37;24;8;1184;223
;167001;17;2;1;122;48;23;31;1035;240;71;56;107;1162;71;16;14;77;505;36;15;7;953;205
;167002;17;2;1;126;46;40;41;652;187;51;51;116;843;57;16;6;114;398;26;25;10;750;182
;167003;17;2;1;129;48;33;59;827;230;55;60;273;867;71;24;15;193;441;42;20;15;1233;201
;167004;17;2;1;99;32;36;91;497;278;61;59;243;1080;86;23;18;168;572;53;27;8;1235;233
;167005;17;2;1;123;47;25;39;752;340;82;90;144;1505;74;25;16;124;742;39;26;10;1128;276
;167006;17;2;1;81;46;23;84;520;301;72;55;259;1103;91;36;20;206;615;52;31;6;1665;280
;167007;17;2;1;93;45;30;47;786;355;101;67;219;1643;126;26;22;166;788;69;35;7;1610;326
;167008;17;2;1;177;80;58;89;862;334;103;89;337;1261;110;25;26;301;567;42;20;15;1010;218
;169001;19;2;1;117;58;27;60;689;185;70;69;190;850;43;13;8;150;255;22;6;5;571;89
;169002;19;2;1;68;24;22;37;497;183;51;57;158;802;65;22;14;130;470;28;20;7;1031;180
;169004;19;2;1;54;27;20;49;508;198;58;40;157;904;93;20;13;136;564;42;24;10;1481;249
;169006;19;2;1;150;70;47;94;1018;305;115;91;368;1512;80;40;30;266;508;43;21;8;965;209
;169007;19;2;1;129;48;38;105;721;258;68;62;208;1246;98;27;16;140;631;52;24;12;1685;248
;169008;19;2;1;100;37;26;68;561;170;63;44;235;776;57;19;11;146;361;19;13;9;693;114
;169009;19;2;1;22;6;4;5;183;104;27;19;44;483;48;11;3;44;325;26;11;2;496;129
