Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Boliger og personer efter boligstørrelse_01. Antal boliger_0-39 m2,Boliger og personer efter boligstørrelse_02. Antal boliger_40-79 m2,Boliger og personer efter boligstørrelse_03.Antal boliger_80-119 m2,Boliger og personer efter boligstørrelse_04. Antal boliger_120-159 m2,Boliger og personer efter boligstørrelse_05. Antal boliger_160-199 m2,Boliger og personer efter boligstørrelse_06. Antal boliger_200+ m2,Boliger og personer efter boligstørrelse_07. Antal boliger_Uoplyst areal,Boliger og personer efter boligstørrelse_08. Antal personer_0-39 m2,Boliger og personer efter boligstørrelse_09. Antal personer_40-79 m2,Boliger og personer efter boligstørrelse_10. Antal personer_80-119 m2,Boliger og personer efter boligstørrelse_11. Antal personer_120-159 m2,Boliger og personer efter boligstørrelse_12. Antal personer_160-199 m2,Boliger og personer efter boligstørrelse_13. Antal personer_200+ m2,Boliger og personer efter boligstørrelse_14. Antal_personer_Uoplyst areal
,219011,23,3,1,7,45,229,299,130,106,4,8,68,496,781,383,335,12
,219012,23,3,1,4,153,457,489,237,208,4,7,211,1031,1395,764,738,9
,219013,23,3,1,6,65,157,176,103,49,3,11,90,369,542,334,183,5
,219014,23,3,1,0,19,203,162,90,54,1,0,33,415,410,281,219,4
,223001,22,3,1,51,930,1241,538,257,165,4,58,1201,2207,1352,807,555,59
,223002,22,3,1,60,750,755,1063,340,56,8,61,1044,1652,2668,905,202,12
,223003,22,3,1,1,103,252,467,445,592,7,1,132,461,1051,1170,1810,15
,223004,22,3,1,0,5,20,40,29,63,3,0,9,39,97,86,174,12
,223005,22,3,1,48,642,1256,695,388,234,9,58,760,2488,1784,1122,780,32
,230001,26,3,1,29,1002,823,807,401,131,8,33,1407,1846,2216,1141,427,26
,230003,26,3,1,20,648,497,766,492,506,31,24,870,1074,1821,1401,1683,53
,230004,26,3,1,166,1045,1290,266,135,65,10,180,1479,2679,656,402,227,36
,230005,26,3,1,15,622,845,762,565,325,18,17,859,1835,2016,1793,1118,54
,230006,26,3,1,34,299,215,339,392,165,3,34,542,468,899,1120,516,10
,230007,26,3,1,103,1130,893,768,556,245,8,110,1672,2038,2118,1645,775,26
,230008,26,3,1,10,527,614,663,441,234,11,11,695,1278,1600,1249,740,33
,230009,26,3,1,417,149,439,317,262,297,12,449,174,774,717,737,931,152
,230010,26,3,1,9,534,795,871,603,549,22,11,781,1472,2115,1650,1761,52
,240001,25,3,1,2,61,68,166,88,63,8,2,78,148,398,275,191,14
,240002,25,3,1,53,519,1939,1062,476,148,9,61,765,4676,2947,1468,568,30
,240003,25,3,1,61.65,371.86,769.57,902.80,380.81,153.12,12.93,69.60,504.10,1744.96,2470.78,1184.18,574.69,27.84
,240004,25,3,1,12,142,275,275,86,32,6,15,188,603,776,248,121,17
,240005,25,3,1,8,104,283,566,278,141,15,13,156,597,1488,801,479,26
,240006,25,3,1,11,35,147,268,85,66,0,13,64,314,674,242,224,0
,240007,25,3,1,12.75,340.23,819.07,1078.16,465.32,106.53,5.04,24.23,451.85,1869.31,3028.70,1484.32,363.41,11.17
,240008,25,3,1,104.23,202.72,857.73,947.61,226.62,55.46,0.96,114.75,304.08,2158.19,2671.68,709.51,206.54,3.82
,240009,25,3,1,23.38,209.19,1109.63,436.42,124.25,51.89,11.07,26.43,269.97,2459.55,1236.85,441.98,184.36,77.16
,250001,24,3,1,100,1645,1291,629,210,77,33,113,2275,2591,1603,633,226,145
,250002,24,3,1,17,352,1180,716,248,95,3,20,459,2736,1976,714,295,20
,250003,24,3,1,9,341,661,1023,463,153,6,9,436,1515,2793,1414,527,15
,250004,24,3,1,26,712,1202,915,436,361,17,37,960,2431,2317,1208,1233,55
,250005,24,3,1,92,768,1340,956,404,205,18,113,1080,2783,2470,1200,624,57
,250006,24,3,1,23,461,997,1125,456,257,6,29,626,2208,3040,1373,853,11
,253001,35,5,2,89.77,1079.42,1845.68,300.44,147.41,51.50,7.04,99.19,1395.94,4263.65,802.41,424.67,163.40,25.08
,253002,35,5,2,148.10,1555.73,2840.62,2579.64,1049.42,290.22,18.26,173.74,2031.91,6430.37,6960.79,3149.94,972.08,152.43
,253003,35,5,2,18.13,172.84,743.71,1213.92,563.17,110.28,4.70,22.07,233.15,1700.98,3160.80,1620.38,365.52,29.49
,253004,35,5,2,68,356,1110,1357,560,185,29,111,736,2337,3651,1655,579,58
,253005,35,5,2,16,280,888,1072,429,142,3,31,344,1892,3046,1385,549,6
,259001,34,5,2,92,1472,1502,1016,423,135,39,116,2074,3113,2648,1263,465,260
,259002,34,5,2,63,1016.97,1478.80,336.31,169.44,55.00,2,71,1451.79,3181.29,902.87,471.30,183.86,7
,259003,34,5,2,89.90,796.02,1527.80,625.95,280.23,110.78,15.41,102.71,1082.64,3530.10,1739.86,863.99,360.43,27.63
,259004,34,5,2,0,244,558,651,257,74,5,0,357,1446,1889,788,264,27
,259005,34,5,2,88,616,1130,540,244,78,27,102,850,2577,1445,751,258,49
,259006,34,5,2,128,664,1202,890,415,220,11,162,933,2847,2398,1208,776,28
,259007,34,5,2,10.10,178.98,468.20,512.05,310.77,147.22,7.59,10.29,231.36,1040.90,1327.14,930.01,497.57,22.37
,259008,34,5,2,0,29.03,229.20,488.69,185.56,70.00,1,0,51.21,464.71,1270.13,553.70,218.14,5
,259009,34,5,2,2,175,415,490,273,104,13,2,241,897,1318,822,349,63
,259010,34,5,2,1,28,116,205,95,75,3,7,50,241,549,249,206,4
,259011,34,5,2,34,574,932,582,343,189,16,40,820,2036,1571,1112,673,36
,260001,24,3,1,45,824,1664,1204,518,208,12,49,1132,3338,2924,1481,622,27
,260002,24,3,1,5,422,574,512,207,99,0,5,611,1139,1290,590,305,0
,260003,24,3,1,13.60,310.78,621.55,513.75,177.72,72.84,6.80,15.54,436.06,1396.55,1393.63,540.94,236.97,127.22
,260004,24,3,1,43.40,1728.22,1470.45,989.25,403.28,131.16,47.20,70.46,2665.94,3361.45,2749.37,1226.06,458.03,72.78
,260005,24,3,1,14,379,502,350,92,69,2,15,533,1068,983,272,243,6
,265001,36,5,2,101,1124,934,432,179,86,14,117,1575,1832,1026,507,280,186
,265002,36,5,2,80,688,946,572,277,126,13,96,923,1919,1533,916,449,44
,265003,36,5,2,323,1340,1309,629,203,54,16,358,1819,2961,1873,625,283,117
,265004,36,5,2,190,1114,802,283,73,19,35,221,1734,1905,817,244,57,51
,265005,36,5,2,251,2179,792,445,197,23,66,275,3343,1800,1240,580,103,168
,265006,36,5,2,174,549,1031,799,573,264,39,194,719,2251,2083,1641,838,44
,265007,36,5,2,21,237,756,548,241,62,2,26,320,1625,1462,752,201,5
,265008,36,5,2,12,63,240,399,207,62,13,14,90,555,1109,672,237,39
,265009,36,5,2,40,12,123,164,66,46,4,55,23,319,441,217,182,9
,265010,36,5,2,237,2574,996,220,107,23,4,276,3724,2412,608,386,83,9
,265011,36,5,2,22,192,397,401,238,163,7,23,270,873,1066,718,578,19
,265013,36,5,2,9,313,749,915,528,150,11,13,502,1634,2450,1677,476,26
,265014,36,5,2,12,101,316,507,177,60,10,14,124,712,1358,566,240,32
,265015,36,5,2,32,163,385,597,273,72,1,35,223,781,1474,725,221,6
,265016,36,5,2,5,45,198,365,190,96,1,5,64,451,968,595,333,2
,265017,36,5,2,42,364,644,875,395,173,33,46,473,1446,2338,1165,591,88
,265018,36,5,2,1,12,89,173,95,44,1,1,18,209,451,280,158,3
,265021,36,5,2,526,605,902,388,162,45,9,547,790,2294,1310,640,185,29
