ValgstedId,Opførelsesår_Antal_boliger_1940-1959,Opførelsesår_Antal_boliger_1960-1969,Opførelsesår_Antal_boliger_1970-1979,Opførelsesår_Antal_boliger_1980-1989,Opførelsesår_Antal_boliger_1990-1999,Opførelsesår_Antal_boliger_2000-2009,Opførelsesår_Antal_boliger_2010-9999,Opførelsesår_Antal_boliger_Før 1940
330019,1121,669,924,840,492,92,110,2687
330021,591,508,651,235,106,117,101,683
330022,248,1051,284,454,424,430,326,1000
330024,48,73,26,5,7,12,8,358
330025,126,214,255,61,101,175,47,471
336001,117,267,375,312,127,195,106,1006
336002,164,631,612,233,178,305,316,702
336003,182,302,275,263,205,163,73,1352
336004,113,183,148,139,79,134,111,875
340001,280,325,575,219,106,370,99,762
340002,67,84,187,62,9,170,3,338
340004,61,74,127,51,20,51,11,387
340005,397,417,252,213,285,109,9,1118
340006,199,210,399,164,145,197,117,738
340008,133,148,163,226,70,402,102,573
340010,212,204,271,320,137,148,32,1095
350001,105,249,263,159,120,402,115,372
350002,39,203,360,95,35,113,26,225
350003,36,114,186,85,51,29,14,199
350004,23,31,320,59,17,29,1,104
350005,46,115,47,11,24,38,10,180
350006,129,216,469,230,186,267,200,356
350008,71,161,350,117,114,50,7,284
350009,54,221,331,81,36,133,21,303
350011,57,58,256,138,140,140,129,217
350012,140,261,291,49,37,79,37,357
360001,21,11,49,29,2,4,2,263
360003,137,112,223,135,8,34,19,661
360008,31,25,58,29,3,2,5,334
360011,93.40,101.66,194.22,142.33,77.53,18.51,5.80,534.77
360013,439,500,416,313,167,268,50,1466
360014,0,0,0,0,0,0,0,0
360019,158,169,96,124,36,13,5,939
360020,730,636,405,586,143,115,138,2091
360021,684.76,297.11,414.06,41.50,9.43,116.01,32.07,887.55
360026,13.84,23.23,27.72,6.17,10.04,1.48,5.13,183.68
360027,37,8,27,15,5,4,0,172
360028,0,0,0,0,0,0,0,0
360029,92,38,103,59,23,49,4,777
360035,107,101,170,100,7,51,13,743
360036,185,254,268,125,3,49,3,909
360037,67,288,198,155,30,11,3,183
370001,119,148,302,159,174,160,52,951
370002,22,37,46,11,7,12,3,293
370003,61,50,105,102,9,54,5,527
370004,28,55,337,117,30,230,85,260
370005,38,36,55,30,8,19,4,221
370006,71,78,220,151,16,93,18,434
370007,57,45,47,36,57,42,6,408
370008,167,266,473,241,211,471,197,223
370009,41,37,146,121,14,77,41,152
370010,32,55,56,42,37,115,20,347
370011,70,146,179,161,66,251,30,558
370012,14,11,30,1,3,17,2,153
370014,88,129,455,207,76,197,69,516
370020,569,376,378,169,33,347,98,335
370021,400,202,76,215,146,140,37,1062
370022,1507,874,287,700,253,320,294,917
370023,413,670,650,326,161,161,43,615
370024,306,1404,738,151,130,193,63,247
370026,104,350,609,38,8,53,25,359
370027,176,569,154,162,370,843,213,320
370028,33,326,1667,369,215,51,18,2
370029,29,93,28,34,3,32,13,133
370031,80,57,49,44,33,48,13,514
370032,69,113,302,161,59,227,43,326
376001,233,70,10,301,212,234,71,1803
376002,562,234,185,43,26,7,2,1159
376003,110,602,830,351,48,17,6,74
376004,856,369,278,31,221,125,5,601
376005,76,116,168,93,1,171,42,506
376006,90,66,57,66,8,13,2,588
376007,249,226,360,480,49,53,25,240
376008,113,106,228,101,14,98,7,862
376009,103,33,52,21,4,11,4,534
376010,132,158,322,200,27,138,11,605
376011,131,96,48,70,14,24,9,665
376012,89,96,183,86,10,69,3,696
376013,379,348,418,389,172,93,19,1142
376014,102,43,47,63,8,44,4,472
376015,48,17,10,16,3,4,3,434
376016,163,121,186,129,46,190,9,1119
376017,135,78,120,102,8,29,7,952
376018,72,80,219,123,22,39,5,360
376019,103,266,468,217,80,176,25,397
376020,64,67,97,47,6,32,5,433
390001,636,438,375,301,180,237,39,923
390002,343,392,170,137,99,346,12,746
390003,34,168,288,240,67,215,39,308
