ValgstedId,Ejerforhold_Antal_boliger_01. Ejerbolig,Ejerforhold_Antal_boliger_02. Andelsbolig,Ejerforhold_Antal_boliger_03. Almennyttig bolig,Ejerforhold_Antal_boliger_04. Lejer i offentligt ejet,Ejerforhold_Antal_boliger_05. Privat lejerbolig,Ejerforhold_Antal_boliger_06. Øvrige beboede boliger
159004,1371,123,2538,2,95,113
159005,1485,175,1588,163,170,863
159006,1845,50,911,125,58,821
159007,1091,342,698,8,316,214
159008,1222,167,1126,97,185,87
159009,560.15,7.34,1353.33,6.14,28.07,35.31
161001,793,0,424,0,25,31
161002,732,211,130,129,256,227
161003,865,619,789,160,167,444
161004,175,111,1923,4,47,172
161005,692,11,0,14,14,23
161006,533,68,1032,68,40,34
163001,1141,333,3410,15,134,289
163002,2238,9,1090,48,72,126
163003,884,88,3496,8,22,78
165001,1138,50,1694,30,34,18
165002,1102,0,791,0,75,34
165003,598,21,1619,6,41,57
165004,28,0,2464,113,8,10
165005,1173,389,979,52,24,2
167001,1486,485,98,6,233,665
167002,842,627,421,74,125,132
167003,612,250,1780,67,7,379
167004,996,89,1682,1,40,44
167005,1736,702,302,1,118,174
167006,1208,0,2008,23,29,58
167007,1964,92,883,1,53,265
167008,483,282,2458,6,30,44
169001,606,501,702,0,122,46
169002,1125,17,674,0,80,240
169004,1602,32,584,47,48,64
169006,1619,68,1032,65,210,133
169007,2121,92,478,65,200,459
169008,307,436,1234,32,131,52
169009,788,17,8,53,84,38
169010,862.84,72.68,546.65,44.10,96.29,112.44
169012,1794,84,189,5,117,116
169013,260,36,0,0,27,12
169014,526.16,44.32,333.35,26.90,58.71,68.56
173001,1128,1043,185,106,319,770
173002,538,361,1842,248,93,735
173003,1149,73,824,112,189,1174
173004,1703,596,120,137,334,546
173005,423,40,60,32,74,33
173006,2065,112,122,26,125,278
173007,1374,0,774,2,41,18
173008,2160,324,663,96,170,623
173009,1622,1,1163,31,125,205
175001,1074,146,425,33,128,182
175002,907,0,1442,0,53,280
175003,1405,261,1469,6,254,370
175004,546,48,1858,0,99,471
175005,1822,22,1131,8,195,413
175006,1471,39,804,0,50,271
175007,0,0,1135,0,0,0
183001,511,67,0,38,62,61
183002,880,0,637,0,18,7
183003,741,0,1705,1,31,10
183004,0,0,2126.50,103.54,0.98,92.80
183005,1678,147,237.50,122.46,224.02,70.20
185001,1884,1,238,32,76,154
185002,2529,0,0,42,85,45
185003,1172,0,1881,74,75,49
185004,1056,137,922,48,186,213
185005,1621,154,51,122,73,27
185006,1233,502,3779,38,382,58
187001,1379,131,0,4,395,504
187002,1438,0,218,32,144,36
187003,1660,26,305,71,104,191
190001,2528,12,1408,26,125,299
190002,1188,0,97,1,42,13
190003,1505,95,232,24,36,98
190004,425,0,86,25,36,53
190005,1571,109,466,0,56,175
190006,2474,164,467,2,134,348
190007,486,0,2073,0,130,160
201001,1075,10,70,25,50,56
201002,1107,42,869,0,49,302
201003,1798,31,285,35,69,162
201004,1517,55,317,65,93,55
201005,1882,52,252,37,77,51
210001,1539,190,918,3,154,144
210002,1435,14,85,16,128,238
210003,1227,8,522,2,177,334
210004,1026,70,800,4,119,255
210005,2611,0,1414,1,150,157
210007,994,160,531,0,76,82
210008,351,0,0,2,40,23
210009,785,227,793,10,36,86
217001,1833.64,313.55,1082.05,25.36,880.70,1218.84
217002,1577,240,2774,3,207,224
217003,1297,0,2079,6,169,96
217004,1649,267,308,29,116,84
217005,1599,1,248,83,275,125
217006,437,4,0,12,42,11
217007,548,0,0,11,86,46
217008,301,0,58,4,24,76
217009,1275,62,723,3,109,69
217010,1329,28,452,1,79,124
217011,1967,119,709,4,190,85
217012,552.36,94.45,325.95,7.64,265.30,367.16
219001,1896,116,577,122,432,1491
219002,1482,75,713,14,157,411
219003,264,0,30,2,25,5
219004,521,36,0,1,30,18
219005,773,32,20,1,44,35
219006,1430,157,609,1,64,334
219007,606,0,194,10,29,36
219008,373,0,6,3,38,2
219009,1203,107,273,0,141,328
219010,1336,37,1329,151,150,540
219011,630,65,34,1,61,29
219012,1148,0,57,52,139,156
219013,416,31,22,6,37,47
219014,384,91,0,1,42,11
223001,1552,633,199,33,270,499
223002,1927,70,723,22,205,85
223003,1459,0,63,2,128,215
223004,128,0,0,0,17,15
223005,1676,0,1321,9,76,190
230001,1897,60,577,138,102,427
230003,2130,56,188,135,174,277
230004,1212,131,843,161,123,507
230005,2210,73,267,106,120,376
230006,1031,82,76,33,28,197
230007,1979,72,1136,102,164,250
230008,1441,104,733,28,49,145
230009,1306,0,0,4,80,503
230010,2247,41,370,29,205,491
240001,346,0,0,46,47,17
240002,3043,272,386,48,202,255
240003,1923.93,34.80,458.36,10.94,137.21,87.50
240004,480,82,217,3,31,15
240005,1164,14,102,1,65,49
240006,550,13,0,8,33,8
240007,2237.84,21.31,332.56,4.83,151.61,78.96
240008,1774.74,50.68,429.34,18.17,57.37,65.02
240009,1243.49,171.21,297.74,0.07,157.80,95.52
250001,1467,150,1162,16,243,947
250002,1564,102,787,1,102,55
250003,2043,12,213,125,153,110
250004,2434,281,301,90,345,218
250005,2696,144,350,73,311,209
250006,2318,164,394,57,248,144
253001,810.56,51.78,2433.23,54.53,44.24,126.93
253002,5126.07,260.04,2503.49,139.22,197.17,256.01
