Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,KommuneKode,KommuneNavn,Regionskode,RegionNavn
,265007,36,5,2,265,Roskilde,1085,Region Sjælland
,265008,36,5,2,265,Roskilde,1085,Region Sjælland
,265009,36,5,2,265,Roskilde,1085,Region Sjælland
,265010,36,5,2,265,Roskilde,1085,Region Sjælland
,265011,36,5,2,265,Roskilde,1085,Region Sjælland
,265013,36,5,2,265,Roskilde,1085,Region Sjælland
,265014,36,5,2,265,Roskilde,1085,Region Sjælland
,265015,36,5,2,265,Roskilde,1085,Region Sjælland
,265016,36,5,2,265,Roskilde,1085,Region Sjælland
,265017,36,5,2,265,Roskilde,1085,Region Sjælland
,265018,36,5,2,265,Roskilde,1085,Region Sjælland
,265021,36,5,2,265,Roskilde,1085,Region Sjælland
,269001,35,5,2,269,Solrød,1085,Region Sjælland
,269004,35,5,2,269,Solrød,1085,Region Sjælland
,269005,35,5,2,269,Solrød,1085,Region Sjælland
,270001,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270002,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270003,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270004,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270005,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270006,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270007,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270008,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270009,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270010,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270011,23,3,1,270,Gribskov,1084,Region Hovedstaden
,270012,23,3,1,270,Gribskov,1084,Region Hovedstaden
,306001,38,5,2,306,Odsherred,1085,Region Sjælland
,306002,38,5,2,306,Odsherred,1085,Region Sjælland
,306003,38,5,2,306,Odsherred,1085,Region Sjælland
,306004,38,5,2,306,Odsherred,1085,Region Sjælland
,306005,38,5,2,306,Odsherred,1085,Region Sjælland
,306006,38,5,2,306,Odsherred,1085,Region Sjælland
,306007,38,5,2,306,Odsherred,1085,Region Sjælland
,306008,38,5,2,306,Odsherred,1085,Region Sjælland
,306010,38,5,2,306,Odsherred,1085,Region Sjælland
,306011,38,5,2,306,Odsherred,1085,Region Sjælland
,306012,38,5,2,306,Odsherred,1085,Region Sjælland
,306013,38,5,2,306,Odsherred,1085,Region Sjælland
,316001,37,5,2,316,Holbæk,1085,Region Sjælland
,316002,37,5,2,316,Holbæk,1085,Region Sjælland
,316003,37,5,2,316,Holbæk,1085,Region Sjælland
,316004,37,5,2,316,Holbæk,1085,Region Sjælland
,316005,37,5,2,316,Holbæk,1085,Region Sjælland
,316006,37,5,2,316,Holbæk,1085,Region Sjælland
,316007,37,5,2,316,Holbæk,1085,Region Sjælland
,316008,37,5,2,316,Holbæk,1085,Region Sjælland
,316009,37,5,2,316,Holbæk,1085,Region Sjælland
,316010,37,5,2,316,Holbæk,1085,Region Sjælland
,316011,37,5,2,316,Holbæk,1085,Region Sjælland
,316012,37,5,2,316,Holbæk,1085,Region Sjælland
,316013,37,5,2,316,Holbæk,1085,Region Sjælland
,316014,37,5,2,316,Holbæk,1085,Region Sjælland
,316015,37,5,2,316,Holbæk,1085,Region Sjælland
,320001,33,5,2,320,Faxe,1085,Region Sjælland
,320002,33,5,2,320,Faxe,1085,Region Sjælland
,320003,33,5,2,320,Faxe,1085,Region Sjælland
,320004,33,5,2,320,Faxe,1085,Region Sjælland
,320005,33,5,2,320,Faxe,1085,Region Sjælland
,320006,33,5,2,320,Faxe,1085,Region Sjælland
,320007,33,5,2,320,Faxe,1085,Region Sjælland
,326001,38,5,2,326,Kalundborg,1085,Region Sjælland
,326002,38,5,2,326,Kalundborg,1085,Region Sjælland
,326003,38,5,2,326,Kalundborg,1085,Region Sjælland
,326004,38,5,2,326,Kalundborg,1085,Region Sjælland
,326005,38,5,2,326,Kalundborg,1085,Region Sjælland
,326006,38,5,2,326,Kalundborg,1085,Region Sjælland
,326007,38,5,2,326,Kalundborg,1085,Region Sjælland
,326008,38,5,2,326,Kalundborg,1085,Region Sjælland
,326009,38,5,2,326,Kalundborg,1085,Region Sjælland
,326010,38,5,2,326,Kalundborg,1085,Region Sjælland
,326011,38,5,2,326,Kalundborg,1085,Region Sjælland
,326012,38,5,2,326,Kalundborg,1085,Region Sjælland
,326013,38,5,2,326,Kalundborg,1085,Region Sjælland
,326014,38,5,2,326,Kalundborg,1085,Region Sjælland
,326015,38,5,2,326,Kalundborg,1085,Region Sjælland
,326016,38,5,2,326,Kalundborg,1085,Region Sjælland
,326017,38,5,2,326,Kalundborg,1085,Region Sjælland
,326018,38,5,2,326,Kalundborg,1085,Region Sjælland
,329001,39,5,2,329,Ringsted,1085,Region Sjælland
,329002,39,5,2,329,Ringsted,1085,Region Sjælland
,329003,39,5,2,329,Ringsted,1085,Region Sjælland
,329004,39,5,2,329,Ringsted,1085,Region Sjælland
,329005,39,5,2,329,Ringsted,1085,Region Sjælland
,329006,39,5,2,329,Ringsted,1085,Region Sjælland
,329008,39,5,2,329,Ringsted,1085,Region Sjælland
,329009,39,5,2,329,Ringsted,1085,Region Sjælland
,329010,39,5,2,329,Ringsted,1085,Region Sjælland
,329011,39,5,2,329,Ringsted,1085,Region Sjælland
,329012,39,5,2,329,Ringsted,1085,Region Sjælland
,329013,39,5,2,329,Ringsted,1085,Region Sjælland
,329014,39,5,2,329,Ringsted,1085,Region Sjælland
,330001,40,5,2,330,Slagelse,1085,Region Sjælland
,330003,40,5,2,330,Slagelse,1085,Region Sjælland
,330004,40,5,2,330,Slagelse,1085,Region Sjælland
,330005,40,5,2,330,Slagelse,1085,Region Sjælland
,330006,40,5,2,330,Slagelse,1085,Region Sjælland
,330007,40,5,2,330,Slagelse,1085,Region Sjælland
,330008,40,5,2,330,Slagelse,1085,Region Sjælland
,330009,40,5,2,330,Slagelse,1085,Region Sjælland
,330010,40,5,2,330,Slagelse,1085,Region Sjælland
,330011,40,5,2,330,Slagelse,1085,Region Sjælland
,330012,40,5,2,330,Slagelse,1085,Region Sjælland
,330013,40,5,2,330,Slagelse,1085,Region Sjælland
,330017,40,5,2,330,Slagelse,1085,Region Sjælland
,330019,40,5,2,330,Slagelse,1085,Region Sjælland
,330021,40,5,2,330,Slagelse,1085,Region Sjælland
,330022,40,5,2,330,Slagelse,1085,Region Sjælland
,330024,40,5,2,330,Slagelse,1085,Region Sjælland
,330025,40,5,2,330,Slagelse,1085,Region Sjælland
,336001,33,5,2,336,Stevns,1085,Region Sjælland
,336002,33,5,2,336,Stevns,1085,Region Sjælland
,336003,33,5,2,336,Stevns,1085,Region Sjælland
,336004,33,5,2,336,Stevns,1085,Region Sjælland
,340001,39,5,2,340,Sorø,1085,Region Sjælland
,340002,39,5,2,340,Sorø,1085,Region Sjælland
,340004,39,5,2,340,Sorø,1085,Region Sjælland
,340005,39,5,2,340,Sorø,1085,Region Sjælland
,340006,39,5,2,340,Sorø,1085,Region Sjælland
,340008,39,5,2,340,Sorø,1085,Region Sjælland
,340010,39,5,2,340,Sorø,1085,Region Sjælland
,350001,34,5,2,350,Lejre,1085,Region Sjælland
,350002,34,5,2,350,Lejre,1085,Region Sjælland
,350003,34,5,2,350,Lejre,1085,Region Sjælland
,350004,34,5,2,350,Lejre,1085,Region Sjælland
,350005,34,5,2,350,Lejre,1085,Region Sjælland
,350006,34,5,2,350,Lejre,1085,Region Sjælland
,350008,34,5,2,350,Lejre,1085,Region Sjælland
,350009,34,5,2,350,Lejre,1085,Region Sjælland
,350011,34,5,2,350,Lejre,1085,Region Sjælland
,350012,34,5,2,350,Lejre,1085,Region Sjælland
,360001,29,5,2,360,Lolland,1085,Region Sjælland
,360003,29,5,2,360,Lolland,1085,Region Sjælland
,360008,29,5,2,360,Lolland,1085,Region Sjælland
,360011,29,5,2,360,Lolland,1085,Region Sjælland
,360013,29,5,2,360,Lolland,1085,Region Sjælland
,360014,29,5,2,360,Lolland,1085,Region Sjælland
,360019,29,5,2,360,Lolland,1085,Region Sjælland
,360020,29,5,2,360,Lolland,1085,Region Sjælland
,360021,29,5,2,360,Lolland,1085,Region Sjælland
,360026,29,5,2,360,Lolland,1085,Region Sjælland
,360027,29,5,2,360,Lolland,1085,Region Sjælland
,360028,29,5,2,360,Lolland,1085,Region Sjælland
,360029,29,5,2,360,Lolland,1085,Region Sjælland
,360035,29,5,2,360,Lolland,1085,Region Sjælland
,360036,29,5,2,360,Lolland,1085,Region Sjælland
,360037,29,5,2,360,Lolland,1085,Region Sjælland
,370001,32,5,2,370,Næstved,1085,Region Sjælland
,370002,32,5,2,370,Næstved,1085,Region Sjælland
,370003,32,5,2,370,Næstved,1085,Region Sjælland
,370004,32,5,2,370,Næstved,1085,Region Sjælland
,370005,32,5,2,370,Næstved,1085,Region Sjælland
,370006,32,5,2,370,Næstved,1085,Region Sjælland
,370007,32,5,2,370,Næstved,1085,Region Sjælland
,370008,32,5,2,370,Næstved,1085,Region Sjælland
,370009,32,5,2,370,Næstved,1085,Region Sjælland
,370010,32,5,2,370,Næstved,1085,Region Sjælland
,370011,32,5,2,370,Næstved,1085,Region Sjælland
,370012,32,5,2,370,Næstved,1085,Region Sjælland
,370014,32,5,2,370,Næstved,1085,Region Sjælland
,370020,32,5,2,370,Næstved,1085,Region Sjælland
,370021,32,5,2,370,Næstved,1085,Region Sjælland
,370022,32,5,2,370,Næstved,1085,Region Sjælland
,370023,32,5,2,370,Næstved,1085,Region Sjælland
,370024,32,5,2,370,Næstved,1085,Region Sjælland
,370026,32,5,2,370,Næstved,1085,Region Sjælland
,370027,32,5,2,370,Næstved,1085,Region Sjælland
,370028,32,5,2,370,Næstved,1085,Region Sjælland
,370029,32,5,2,370,Næstved,1085,Region Sjælland
,370031,32,5,2,370,Næstved,1085,Region Sjælland
,370032,32,5,2,370,Næstved,1085,Region Sjælland
,376001,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376002,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376003,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376004,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376005,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376006,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376007,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376008,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376009,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376010,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376011,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376012,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376013,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376014,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376015,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376016,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376017,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376018,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376019,30,5,2,376,Guldborgsund,1085,Region Sjælland
,376020,30,5,2,376,Guldborgsund,1085,Region Sjælland
,390001,31,5,2,390,Vordingborg,1085,Region Sjælland
,390002,31,5,2,390,Vordingborg,1085,Region Sjælland
,390003,31,5,2,390,Vordingborg,1085,Region Sjælland
,390004,31,5,2,390,Vordingborg,1085,Region Sjælland
,390005,31,5,2,390,Vordingborg,1085,Region Sjælland
,390006,31,5,2,390,Vordingborg,1085,Region Sjælland
