ValgstedId,Medlemsskab af folkekirken fordelt på afstemningsområder_Ikke medlem af folkekirken,Medlemsskab af folkekirken fordelt på afstemningsområder_Medlem af folkekirken
760022,409,2020
760024,1375,6799
760025,242,1128
760027,542,2109
760028,191,1039
760030,554,4398
760032,172,1197
760033,309,2243
760035,548,3400
766001,1209,7599
766002,814,3543
766003,329,1851
766004,416,1264
766005,92,540
766006,214,1192
766007,703,4235
766010,290,1425
766011,263,1284
766012,243,1677
766013,392,1444
766014,197,1313
766015,300,1973
766017,315,2473
766020,334,1618
766021,474,2680
766022,245,1428
766023,178,1163
766024,165,847
773001,229,1133
773002,965.07,3417.40
773003,280.72,2344.56
773004,263,1723
773005,1688.22,8203.05
779020,100,667
779021,3446,18679
779022,534,4915
779023,378,3224
779024,414,3302
779025,411,2852
779026,409,3353
779027,458,2709
787001,2996.60,12060.63
787002,492.74,2977.24
787003,490.64,3753.58
787004,550.15,2415.39
787005,445.39,2631.00
787006,187,914
787007,211.95,1656.78
787008,223.86,1732.89
787009,245.37,1447.35
787010,214,1105
787011,125.64,816.95
787012,264.55,1931.75
787013,146.11,1047.44
787014,114,1171
787015,264,790
791001,443,2837
791002,625,2897
791003,471,2941
791004,382,3181
791005,313,2120
791006,394,3061
791007,288,1992
791008,6267,23870
791009,1545,8458
791011,327,2071
791012,508,4212
791013,2325,11138
791014,479,3202
791015,714,2854
791016,453,3312
791017,487,2754
810001,111,751
810002,226,1513
810003,605,4459
810004,151,1164
810005,399,4279
810006,244,1716
810010,2235,10886
810034,105,618
810040,139,1125
810050,165,1457
810056,77,584
810070,293,2094
810080,106,802
813001,1340,6659
813002,185,1568
813003,104,766
813004,194,1453
813005,632,1858
813006,4308,19568
813007,230,1617
813008,237,1735
813009,1233,8414
813010,144,955
813011,79,722
813012,124,648
813013,240,1685
813014,101,565
813015,272,2018
820001,463,3522
820002,796,4175
820003,121,640
820004,1309,8197
820005,161,1413
820006,147,994
820007,238,1627
820008,352,1483
820009,222,952
820010,695,4195
820011,337,1492
820012,211,1139
820013,164,861
820014,94,727
825015,246,1540
840001,1363,8344
840002,863,3430
840003,270,1992
840004,348,2439
840005,415,2573
840006,139,1232
840007,311,1682
840008,171,1366
840009,128,812
840010,208,1335
840011,90,602
846002,320,1961
846003,736,3299
846004,435,3292
846008,268,2046
846009,320,2012
846011,987,5717
846014,154,916
846018,205,2194
846020,421,3150
846022,329,1865
846027,2278,8895
849001,685,5852
849002,187,1740
849003,249,1468
849004,134,1079
849005,142,1035
849006,121,549
849007,80,474
849008,597,2444
849009,146,1225
849010,86,547
849011,201,898
849012,235,1329
849013,540,3674
849014,253,1070
849015,146,946
849016,122,1100
849018,858,5292
849020,243,1321
849021,214,1042
851003,1589.89,5641.02
851004,1240.11,4399.98
851005,2917,7926
851007,393,2550
851009,455.04,2693.94
851010,572.96,3392.06
