ValgstedId,Boligtype_Antal_personer_01. Stuehuse og parcelhuse,Boligtype_Antal_personer_02. Række- og kædehuse,Boligtype_Antal_personer_03. Flerfamiliehuse,Boligtype_Antal_personer_04. Kollegier,Boligtype_Antal_personer_05. Sommerhuse,Boligtype_Antal_personer_06. Øvrige boliger
360021,3629.43,483.86,851.71,0,0,8.49
360026,453.04,15.00,3.53,0,0,2.04
360027,400,13,13,0,22,12
360028,0,0,0,0,0,0
360029,2189,103,6,0,4,11
360035,2220,105,6,0,152,17
360036,2933,305,262,0,22,23
360037,926,170,497,0,0,101
370001,3311,769,216,0,1,82
370002,940,27,4,0,0,50
370003,1749,166,137,0,1,20
370004,2309,364,17,0,0,26
370005,961,10,34,0,0,3
370006,2272,241,41,0,0,140
370007,1507,143,0,0,0,22
370008,3542,1469,110,0,0,20
370009,1103,329,6,0,2,6
370010,1483,142,7,0,7,0
370011,2540,468,282,0,0,6
370012,540,30,6,0,0,0
370014,3083,829,68,0,0,20
370020,3191,450,1207,0,0,46
370021,200,111,3291,0,0,260
370022,4186,1709,3842,0,0,71
370023,3451,743,2067,22,0,29
370024,3357,664,2386,0,3,51
370026,2706,131,641,76,2,11
370027,3835,1307,941,0,0,6
370028,1147,2044,1889,0,0,24
370029,743,152,14,0,0,3
370031,1705,201,62,0,0,5
370032,1395,391,69,0,563,82
376001,685,658,3286,37,0,176
376002,1988,866,1187,131,0,24
376003,2045,140,1995,0,0,3
376004,1781,835,1744,103,0,12
376005,2558,209,57,0,0,20
376006,1710,103,42,0,0,56
376007,2715,624,198,0,0,42
376008,2134,499,210,0,25,40
376009,1514,32,44,0,1,2
376010,2506,552,120,0,0,32
376011,2104,140,44,0,1,13
376012,2480,170,43,0,0,8
376013,3844,656,1031,0,0,117
376014,1386,121,53,0,0,16
376015,1165,22,11,0,0,10
376016,2622,634,333,0,54,43
376017,3010,101,28,10,5,30
376018,1565,175,42,0,151,20
376019,2095,267,59,0,963,28
376020,1014,170,26,0,86,15
390001,2296,473,2731,51,20,191
390002,1809,578,1540,0,170,74
390003,2146,258,375,0,118,8
390004,2149,423,178,36,62,32
390005,1142,58,37,0,0,20
390006,3319,205,175,0,148,18
390007,1603,414,56,0,0,4
390008,3586,542,1098,4,110,58
390009,1356,53,75,0,44,19
