ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
330025,810,130,37,0,470,3
336001,1875,534,54,0,1,41
336002,1968,482,155,1,513,22
336003,1674,644,480,0,0,17
336004,1318,276,82,0,80,26
340001,1793,517,333,0,0,93
340002,598,230,79,0,0,13
340004,678,87,12,0,0,5
340005,1004,478,1231,64,0,23
340006,1517,311,318,0,0,23
340008,1123,538,141,0,2,13
340010,1775,445,160,1,11,27
350001,1057,405,35,0,224,64
350002,760,93,16,0,187,40
350003,454,73,4,0,164,19
350004,503,39,4,0,29,9
350005,429,30,0,0,0,12
350006,1140,636,227,1,0,49
350008,951,142,26,0,1,34
350009,796,261,40,0,75,8
350011,759,329,35,0,0,12
350012,1059,149,30,0,2,11
360001,321,33,2,0,23,2
360003,958,250,80,0,1,40
360008,437,42,6,0,2,0
360011,871.23,213.98,65.73,0,1,16.26
360013,1700,764,1119,0,16,20
360014,0,0,0,0,0,0
360019,1327,160,24,0,4,25
360020,2100,1227,1424,75,0,18
360021,1609.10,320.69,548.00,0,0,4.72
360026,254.67,12.33,2.27,0,0,2.02
360027,220,12,12,0,14,10
360028,0,0,0,0,0,0
360029,1037,95,4,0,4,5
360035,1091,88,3,0,101,9
360036,1391,208,166,0,16,15
360037,442,132,339,0,0,22
370001,1426,491,129,0,1,18
370002,406,13,2,0,0,10
370003,726,95,85,0,1,6
370004,897,226,13,0,0,6
370005,387,9,13,0,0,2
370006,903,139,27,0,0,12
370007,607,84,0,0,0,7
370008,1344,835,67,0,0,3
370009,439,183,3,0,1,3
370010,583,113,5,0,3,0
370011,982,301,176,0,0,2
370012,215,14,2,0,0,0
370014,1212,485,32,0,0,8
370020,1238,272,790,0,0,5
370021,88,67,2107,0,0,16
370022,1727,952,2434,0,0,39
370023,1364,395,1256,22,0,2
370024,1344,357,1517,0,2,12
